company,location_hq,num_laid_off,layoff_date,percent_laid_off,industry,source,stage,raised_million,country,date_added
Yahoo,SF Bay Area,,12/12/24,,Consumer,https://techcrunch.com/2024/12/12/yahoo-cybersecurity-team-sees-layoffs-outsourcing-of-red-team-under-new-cto/,Acquired,$6 ,United States,12/13/24
Brave Care,Portland,,12/31/24,100%,Healthcare,https://www.oregonlive.com/health/2024/12/portland-pediatrics-startup-brave-care-shutters-permanently.html,Series B,$43 ,United States,1/3/25
Cint,StockholmNon-U.S.,,12/12/24,12%,Data,https://investors.cint.com/en/press/cint-reducing-its-cost-base-increase-efficiency-and-sets-date-strategy-update-2287372,Post-IPO,$17 ,Sweden,2/8/25
BionicHIVE,SderotNon-U.S.,,12/22/24,100%,Hardware,https://www.calcalistech.com/ctechnews/article/bjejbfsbyx,Unknown,,Israel,12/27/24
Refinery29,New York City,,12/17/24,,Media,https://www.axios.com/2024/12/17/refinery29-layoffs-ceo-cory-haik,Acquired,$134 ,United States,12/18/24
Epicery,ParisNon-U.S.,,12/31/24,100%,Food,https://techcrunch.com/2024/12/31/after-ups-and-down-food-delivery-startup-epicery-closes-shop/,Acquired,$7 ,France,1/3/25
RealSelf,Seattle,,12/19/24,,Healthcare,https://www.geekwire.com/2024/realself-layoffs-cosmetic-procedure-review-company-cuts-staff/,Series B,$42 ,United States,1/14/25
Spotter,Los Angeles,,12/11/24,,Other,https://www.theinformation.com/articles/spotter-a-startup-that-funds-youtubers-lays-off-staff-following-amazon-deal,Unknown,$238 ,United States,12/12/24
Carousell,SingaporeNon-U.S.,76,12/6/24,7%,Retail,https://www.channelnewsasia.com/singapore/carousell-layoffs-december-2024-76-roles-strategic-market-resources-4791261,Unknown,$375 ,Singapore,12/7/24
Spectrm,BerlinNon-U.S.,,12/10/24,,Marketing,https://tech.eu/2024/12/10/when-layoffs-go-wrong/,Series B,$11 ,Germany,12/18/24
OfferUp,Seattle,,12/11/24,22%,Retail,https://www.geekwire.com/2024/offerup-cuts-22-of-staff-amid-expansion-beyond-used-goods-read-ceos-memo-to-staff/,Unknown,$381 ,United States,12/12/24
Foundry,Rochester,74,12/11/24,27%,Crypto,https://coingeek.com/foundry-lays-off-staff-as-marathon-hive-expand/,Subsidiary,,United States,12/12/24
Canoo,Los Angeles,20,12/11/24,,Transportation,https://eletric-vehicles.com/canoo/canoo-initiates-layoffs-as-bankruptcy-looms/,Post-IPO,$300 ,United States,12/12/24
Calendly,Atlanta,70,12/11/24,13%,Other,https://finance.yahoo.com/news/read-memo-calendlys-ceo-sent-133038639.html,Series B,$351 ,United States,12/12/24
Bluevine,Tel AvivNon-U.S.,100,12/10/24,18%,Finance,https://www.calcalistech.com/ctechnews/article/bkfccpr4kx,Unknown,$769 ,Israel,12/10/24
EasyKnock,New York City,,12/9/24,100%,Real Estate,https://www.housingwire.com/articles/easyknock-fintech-abruptly-shuts-down/,Series D,$440 ,United States,12/10/24
Lightspeed Commerce,MontrealNon-U.S.,200,12/2/24,,Retail,https://www.marketwatch.com/story/lightspeed-commerce-to-cut-200-jobs-17842379,Post-IPO,"$1,200 ",Canada,12/2/24
Mixtroz,Birmingham,,12/6/24,100%,Other,https://bhamnow.com/2024/12/06/mixtroz-co-founders-announce-shutting-down-operations/,Seed,$2 ,United States,12/10/24
2U,Washington D.C.,,12/4/24,,Education,https://www.classcentral.com/report/2u-axes-trilogy-bootcamps-layoffs/,Post-IPO,$426 ,United States,12/7/24
Vox Media,Washington D.C.,,12/5/24,,Media,https://www.adweek.com/media/vox-media-layoffs-reorganizes-lifestyle-properties/,Series F,$307 ,United States,12/7/24
Kobo360,LagosNon-U.S.,30,11/30/24,,Logistics,https://techcabal.com/2025/01/20/kobo360-layoff/,Series B,$85 ,Nigeria,1/20/25
Stash,New York City,88,12/4/24,40%,Finance,https://fortune.com/2024/12/04/stash-fintech-layoffs-ceo-departure-acquisition/,Unknown,$480 ,United States,12/7/24
